article_id,article_title,article_date,sentence,category,voice,annotator
10822,Israeli strikes pound south and central Gaza - Palestinian media.,2023-12-11, Palestinians  mourn  a  person  reportedly  killed  in  an  air  strike  in  Khan  Younis. ,palestine,ACTIVE,
2102,"Gaza faces famine during Ramadan, the holy month of fasting",2024-03-18," ""  According  to  the  poverty  charity  Care,  at  least  27  people  -  23  of  them  children  -  have  died  from  malnutrition  or  dehydration  in  northern  Gaza  in  recent  weeks. ",palestine,ACTIVE,
2102,"Gaza faces famine during Ramadan, the holy month of fasting",2024-03-18," Among  those  treated  for  malnutrition  by  Dr  Eleiwa  at  al-Shifa  hospital  recently  was  a  boy  aged  between  10  and  12  who  died  last  week  during  Ramadan;  a  boy  aged  around  four  months  whose  mother  was  killed,  leaving  him  short  of  milk  when  none  was  available  to  buy;  and  an  18-year-old  girl  who  was  already  suffering  from  epilepsy. ",palestine,ACTIVE,
2102,"Gaza faces famine during Ramadan, the holy month of fasting",2024-03-18," ""  Rafeeq  and  his  sister  Rafeef,  15,  were  severely  injured  when  an  Israeli  air  strike  hit  their  home,  killing  11  members  of  the  family,  their  uncle  Mahmoud  said. ",palestine,ACTIVE,
2102,"Gaza faces famine during Ramadan, the holy month of fasting",2024-03-18," Among  the  dead  were  their  mother,  four  other  siblings  and  their  nieces  and  nephews. ",palestine,,
2102,"Gaza faces famine during Ramadan, the holy month of fasting",2024-03-18," Dr  Hussam  Abu  Safiya,  the  head  of  paediatrics  at  Kamal  Adwan,  said  that  21  children  had  died  at  the  hospital  from  malnutrition  or  dehydration  in  the  past  four  weeks,  and  there  were  currently  10  children  in  an  acute  condition. ",palestine,ACTIVE,
11043,What you need to know.,2023-12-03," The  US  defence  secretary  reiterated  Israel's  right  to  defend  itself,  but  suggested  the  killing  of  civilians  would  ""drive  them  into  the  arms  of  the  enemy""  An  adviser  to  Israel's  prime  minister  told  the  BBC  that  Israel  is  making  ""maximum  effort""  to  avoid  killing  civilians. ",palestine,ACTIVE,
9502,US tells Israel to improve 'deconfliction' process.,2024-04-02, Kirby  took  time  to  draw  attention  to  the  approximately  200  aid  workers  that  have  been  killed  since  7  October  in  Gaza  and  laid  the  responsibility  for  the  safety  of  aid  workers  in  the  region  with  the  Israeli  military. ,palestine,PASSIVE,
2499,Palestinian arrested over Israeli boy's killing,2024-04-22," As  the  search  went  on,  settlers  torched  homes  in  Mughayir  and  shot  a  resident. ",palestine,ACTIVE,
2499,Palestinian arrested over Israeli boy's killing,2024-04-22," The  Israeli  military  said  he  had  been  killed  in  a  ""terrorist  attack"". ",israel,PASSIVE,
2499,Palestinian arrested over Israeli boy's killing,2024-04-22, At  least  four  Palestinians  were  killed  as  settler  violence  spread  to  nearby  areas  over  the  following  days. ,palestine,PASSIVE,
2499,Palestinian arrested over Israeli boy's killing,2024-04-22," In  one  incident  a  17-year-old  boy,  Omar  Hamed,  was  killed  after  being  hit  by  a  bullet  in  the  head  in  an  attack  by  a  group  of  30  settlers  who  had  been  accompanied  by  Israeli  forces,  Palestinian  officials  said. ",palestine,PASSIVE,
2499,Palestinian arrested over Israeli boy's killing,2024-04-22, It  was  not  clear  whether  he  was  shot  by  Israeli  forces  or  settlers. ,palestine,PASSIVE,
2499,Palestinian arrested over Israeli boy's killing,2024-04-22," Over  the  weekend  Israeli  forces  raided  the  Nur  Shams  refugee  camp  in  the  northern  West  Bank  city  of  Tulkarm,  with  the  Israeli  military  saying  on  Sunday  that  14  Palestinian  fighters  had  been  killed  and  nine  Israeli  soldiers  wounded  in  exchanges  of  fire. ",palestine,PASSIVE,
2499,Palestinian arrested over Israeli boy's killing,2024-04-22," Residents  of  Nur  Shams  have  only  identified  five  of  those  killed  as  fighters,  Reuters  reported. ",palestine,,
2499,Palestinian arrested over Israeli boy's killing,2024-04-22," Meanwhile  on  Sunday  a  Palestinian  volunteer  paramedic  was  killed  in  the  northern  West  Bank  while  treating  people  who  had  been  injured  by  Israeli  settlers,  the  Palestinian  Red  Crescent  (PRCS)  said. ",palestine,PASSIVE,
2499,Palestinian arrested over Israeli boy's killing,2024-04-22," Some  reports  said  Awad  Allan  had  been  shot  by  settlers,  others  said  he  was  shot  by  Israeli  troops. ",palestine,PASSIVE,
2499,Palestinian arrested over Israeli boy's killing,2024-04-22," It  confirmed  an  ambulance  driver  was  killed,  and  that  it  was  investigating. ",palestine,PASSIVE,
2499,Palestinian arrested over Israeli boy's killing,2024-04-22, Israeli  forces  also  shot  dead  three  people  who  they  said  had  attacked  troops  in  other  parts  of  the  West  Bank. ,palestine,ACTIVE,
2472,New Gaza hospital raid shows Hamas is not a spent force,2024-03-21," The  Israel  Defense  Forces  (IDF)  now  claim  to  have  killed  ""over  140  terrorists""  in  ongoing  fighting  at  al-Shifa  and  to  have  made  some  600  arrests,  including  dozens  of  top  Hamas  commanders  as  well  as  some  from  Islamic  Jihad. ",palestine,ACTIVE,
2472,New Gaza hospital raid shows Hamas is not a spent force,2024-03-21, Two  Israeli  soldiers  have  also  been  killed. ,israel,PASSIVE,
2472,New Gaza hospital raid shows Hamas is not a spent force,2024-03-21, Hamas  has  denied  that  its  fighters  were  based  there  and  claims  that  those  killed  were  wounded  patients  and  displaced  people.  ,palestine,,
2472,New Gaza hospital raid shows Hamas is not a spent force,2024-03-21, Premature  babies  were  among  those  who  died  as  conditions  deteriorated  in  the  besieged  hospital. ,palestine,ACTIVE,
2314,Israel strikes southern Gaza city swollen with displaced people,2024-01-13," Ten  people  in  a  house  sheltering  two  displaced  families  in  Rafah  were  among  135  people  killed  in  Israeli  strikes  over  the  past  24  hours,  Hamas-run  health  ministry  officials  said. ",palestine,,
2314,Israel strikes southern Gaza city swollen with displaced people,2024-01-13, The  Israeli  military  said  it  had  hit  several  targets  there  and  killed  numerous  fighters. ,palestine,ACTIVE,
2314,Israel strikes southern Gaza city swollen with displaced people,2024-01-13," The  IDF  also  said  it  had  killed  Hamas  fighters  in  Khan  Younis,  while  Hamas  said  it  had  fired  at  an  IDF  helicopter  near  the  city. ",palestine,ACTIVE,
2314,Israel strikes southern Gaza city swollen with displaced people,2024-01-13," A  total  of  23,843  Palestinians,  mostly  civilians,  have  now  been  killed  in  Israel's  military  campaign  against  Hamas  in  Gaza,  the  Hamas-run  health  ministry  says. ",palestine,PASSIVE,
2314,Israel strikes southern Gaza city swollen with displaced people,2024-01-13," Israel  launched  its  campaign  after  hundreds  of  Hamas  gunmen  infiltrated  southern  Israeli  communities  from  Gaza,  killing  about  1,200  people  and  taking  about  240  others  hostage. ",israel,ACTIVE,
2314,Israel strikes southern Gaza city swollen with displaced people,2024-01-13," Correction  10th  July  2024:  This  article  wrongly  reported  that  about  1,300  people  had  been  killed  following  the  7th  October  attack  by  Hamas. ",israel,PASSIVE,
2314,Israel strikes southern Gaza city swollen with displaced people,2024-01-13," This  was  based  on  counting  those  who  later  died  from  their  injuries  in  addition  to  the  figure  of  more  than  1,200. ",israel,ACTIVE,
2466,Netanyahu vows to follow through with Rafah attack,2024-04-30, At  least  34  of  them  are  presumed  dead. ,israel,,
1837,Why has the Gaza ceasefire come to an end?,2023-12-01,"  Within  seven  hours  of  the  fighting  resuming,  the  Hamas-run  health  ministry  said  more  than  60  people  had  been  killed,  adding  to  the  nearly  15,000  Palestinians  it  said  were  killed  before  the  ceasefire.  ",palestine,PASSIVE,
2328,Israel warns Hezbollah and Lebanon over border fighting,2023-12-28," On  the  Israeli  side,  at  least  four  civilians  and  nine  soldiers  are  known  to  have  died  on  the  Lebanon  border  since  hostilities  began. ",israel,,
2328,Israel warns Hezbollah and Lebanon over border fighting,2023-12-28," Hezbollah's  leadership  praised  the  unprecedented  cross-border  attack  launched  by  Hamas  gunmen  on  southern  Israel  on  7  October,  in  which  at  least  1,200  people  were  killed  -  most  of  them  civilians  -  and  about  240  others  were  taken  hostage. ",israel,PASSIVE,
2328,Israel warns Hezbollah and Lebanon over border fighting,2023-12-28," More  than  21,100  people  have  been  killed  by  Israeli  forces  in  Gaza  -  mostly  children  and  women  -  during  11  weeks  of  fighting,  according  to  the  Hamas-run  health  ministry. ",palestine,PASSIVE,
8807,Israeli tanks advancing on key Khan Younis road.,2023-12-09," This  morning,  about  50  people  were  killed  in  the  middle  and  the  south  of  the  Gaza  Strip. ",palestine,PASSIVE,
8807,Israeli tanks advancing on key Khan Younis road.,2023-12-09," The  health  ministry,  run  by  Hamas,  says  it  can’t  count  the  number  of  people  killed  in  the  north. ",palestine,,
1823,US sanctions extremists over West Bank attacks,2023-12-05," Four  Israelis,  including  three  security  forces  personnel,  have  been  killed  in  attacks  by  Palestinians  in  the  West  Bank  over  the  same  period.  ",israel,PASSIVE,
8998,IDF official admits 'extensive collateral damage' in refugee camp strikes.,2023-12-28," According  to  the  Hamas-run  health  ministry,  at  least  86  people  were  killed  by  Israeli  air  strikes  on  the  camp  on  Sunday  ,  according  to  the  UN,  and  that  number  could  still  rise. ",palestine,PASSIVE,
